Phase,Operation,PC_WE,PCSrc,MemIn,Mem_WE,IR_WE,ALUSrcA,ALUSrcB,ALUop,Dst,RegIn,Reg_WE,Branch,JAL
IF,,1,1,0,0,1,0,3,0,0,0,0,0,0
ID,J,1,2,0,0,0,0,0,0,0,0,0,0,0
ID,SW_ADD_SUB_SLT_LW_JR_ADDI_XORI,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,BEQ_BNE,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,JAL,1,2,0,0,0,0,0,0,0,1,1,0,1
EX,BEQ,0,0,0,0,0,1,2,1,0,0,0,1,0
EX,BNE,0,0,0,0,0,1,2,1,0,0,0,2,0
EX,LW_SW_ADDI,0,0,0,0,0,1,1,0,0,0,0,0,0
EX,JR,1,1,0,0,0,1,4,0,0,0,0,0,0
EX,ADD,0,0,0,0,0,1,2,0,0,0,0,0,0
EX,SLT,0,0,0,0,0,1,2,3,0,0,0,0,0
EX,SUB,0,0,0,0,0,1,2,1,0,0,0,0,0
EX,XORI,0,0,0,0,0,1,1,2,0,0,0,0,0
MEM,LW,0,0,1,0,0,0,0,0,0,0,0,0,0
MEM,SW,0,0,1,1,0,0,0,0,0,0,0,0,0
WB,LW,0,0,0,0,0,0,0,0,0,0,1,0,0
WB,ADD_SUB_SLT,0,0,0,0,0,1,2,0,1,1,1,0,0
WB,ADDI_XORI,0,0,0,0,0,1,1,0,0,1,1,0,0
